id,name,gender,origin,type,nationality,study,education,revenue
1,Thales Deutschland GmbH,0,2000,2,DE,NA,NA,18
2,Hensoldt AG,0,2017,2,DE,NA,NA,2
3,Kongsberg Gruppen AG,0,1814,2,DE,NA,NA,4
4,MTU Aero Engines AG,0,1936,2,DE,NA,NA,6
5,Rheinmetall AG,0,1889,2,DE,NA,NA,7
6,Diehl Defence GmbH & Co. KG,0,1905,2,DE,NA,NA,4
7,Safran SA,0,2005,2,DE,NA,NA,23
8,Leonardo S.p.A.,0,1951,2,IT,NA,NA,15
9,Airbus Defence and Space GmbH,0,2014,2,DE,NA,NA,12
10,Christoph Ruffner,1,NA,3,DE,Informatik,2,NA
11,Axel Schlatter,1,NA,3,DE,"Hotel- und Gastronomiemanagement, Betriebswirtschaftslehre",2,NA
12,Oliver Dörre,1,NA,3,DE,Informatik,2,NA
13,Christian Ladurner,1,1977,3,DE,Betriebswirtschaftslehre,2,NA
14,Geir Håøy,1,1966,3,NO,Ingenieurwesen,2,NA
15,Mette Toft Bjørgen,2,1976,3,NO,Finanzen,2,NA
16,Lars Wagner,1,1975,3,DE,"Maschinenbau,Luft- und Raumfahrttechnik",2,NA
17,Bitkom,0,NA,7,DE,NA,NA,NA
18,René Gansauge,1,1973,3,DE,Wirtschaftsingenieurwesen,2,NA
19,Klaus Neumann,1,1970,3,DE,Wirtschaftsingenieurwesen,2,NA
20,Helmut Rauch,1,1965,3,DE,Elektrotechnik,NA,NA
21,Thomas Bodenmüller,1,NA,3,DE,Betriebswirtschaftslehre,2,NA
22,Olivier Andriés,1,1962,3,FR,NA,NA,NA
23,Pascal Bantegnie,1,1986,3,FR,Ingenieurwesen,2,NA
24,Roberto Cingolani,1,1961,3,IT,Physik,3,NA
25,Alessandra Genco,2,NA,3,IT,"Betriebswirtschaftslehre,Wirtschaftswissenschaften",2,NA
26,Thierry Baril,1,1965,3,FR,"Betriebswirtschaftslehre,Personalmanagement",2,NA
27,Guillaume Faury,1,1968,3,FR,"Physik,Betriebswirtschaftslehre,Luft- und Raumfahrttechnik",2,NA
28,Universität Stuttgart,0,1967,4,DE,NA,NA,NA
29,Mannheim Business School,0,2005,4,DE,NA,NA,NA
30,Führungsakademie der Bundeswehr,0,1957,4,DE,NA,NA,NA
31,Henley Business School,0,1946,4,GB,NA,NA,NA
32,Vestfold University College,0,1994,4,NO,NA,NA,NA
33,University of Melbourne,0,1853,4,AU,NA,NA,NA
34,Massachusetts Institute of Technology,0,1861,4,US,NA,NA,NA
35,Cranfield University,0,1946,4,GB,NA,NA,NA
36,Ecole des Mines,0,1786,4,FR,NA,NA,NA
37,École nationale supérieure de l'aéronautique et de l'espace,0,2007,4,FR,NA,NA,NA
38,University of Bari,0,1925,4,IT,NA,NA,NA
39,Stanford Graduate School of Business,0,1925,4,US,NA,NA,NA
40,Institut de Gestion Sociale,0,1975,4,FR,NA,NA,NA
41,Duale Hochschule Baden-Württemberg Ravensburg,0,2009,4,DE,NA,NA,NA
42,Universität der Bundeswehr München,0,1973,4,DE,NA,NA,NA
43,Norges Handelshøyskole,0,1936,4,NO,NA,NA,NA
44,Technische Universität München,0,1868,4,DE,NA,NA,NA
45,Universität Karlsruhe,0,1825,4,DE,NA,NA,NA
46,École Polytechnique,0,1794,4,FR,NA,NA,NA
47,École Supérieur des Techniques Aéronautiques et de Construction Automobile,0,1925,4,FR,NA,NA,NA
48,Institut des hautes études de défense nationale,0,1936,4,FR,NA,NA,NA
49,LUISS Guido Carli Universität Rom,0,1966,4,IT,NA,NA,NA
50,IAE Aix-Marseille Graduate School of Management,0,1955,4,FR,NA,NA,NA
51,IUT de Villetaneuse,0,1940/1927,4,FR,NA,NA,NA
52,Armin Papperger,1,1963,3,DE,Maschinenbau,2,NA
53,Ursula Biernert-Kloß,2,1969,3,DE,Kulturwissenschaften,3,NA
54,Universität Duisburg,0,1972,4,DE,NA,NA,NA
55,Universität Passau,0,1973,4,DE,NA,NA,NA
56,Porsche AG,0,1972,1,DE,NA,NA,NA
57,DB Cargo AG,0,1999,1,DE,NA,NA,NA
58,LEONI AG,0,1999,1,DE,NA,NA,NA
59,Volkswagen AG,0,1960,1,DE,NA,NA,NA
60,KSPG India,0,NA,1,IN,NA,NA,NA
61,Pierburg GmbH,0,NA,1,DE,NA,NA,NA
62,Pierburg Inc,0,NA,1,US,NA,NA,NA
63,Pierburg US LLC,0,NA,1,US,NA,NA,NA
64,KPMG AG,0,1987,1,DE,NA,NA,NA
65,Renk Group AG,0,NA,2,DE,NA,NA,1
66,Alexander Sagel,0,1971,3,DE,"Materialwissenschaften,Physik",3,NA
67,Daimler Truck AG,0,NA,1,DE,NA,NA,NA
68,Universität Ulm,0,NA,4,DE,NA,NA,NA
69,Technische Universität Berlin,0,NA,4,DE,NA,NA,NA
70,Anja Mänz-Siebje,2,1971,3,DE,Wirtschaftswissenschaften,NA,NA
71,Renk GmbH,0,NA,2,DE,NA,NA,NA
72,Kostal Group,0,NA,1,DE,NA,NA,NA
73,Siemens Energy,0,NA,1,DE,NA,NA,NA
74,Bayer,0,NA,1,DE,NA,NA,NA
75,Exyte,0,NA,1,DE,NA,NA,NA
76,Pricewaterhouse Coopers,0,NA,1,DE,NA,NA,NA
77,Universität Freiburg,0,NA,4,CH,NA,NA,NA
78,Emmerich Schiller,1,1966,3,DE,Wirtschaftsingenieurwesen,3,NA
79,Mercedes-Benz AG,0,NA,1,DE,NA,NA,NA
80,Mercedes-AMG AG,0,NA,1,DE,NA,NA,NA
81,Hilti Group,0,NA,1,DE,NA,NA,NA
82,Claus von Hermann,1,1974,6,DE,Betriebswirtschaftslehre,NA,NA
83,Triton Partners,0,NA,1,SE,NA,NA,NA
84,Court Square Capital Partners,0,NA,1,GB,NA,NA,NA
85,Credit Suisse,0,NA,1,GB,NA,NA,NA
86,ESB Business School,0,NA,4,DE,NA,NA,NA
87,Dublin City University,0,NA,4,IE,NA,NA,NA
88,Klaus Refle,1,1966,6,DE,NA,NA,NA
89,Sascha Dudzik,1,1977,6,DE,Rechtswissenschaften,NA,NA
90,Universität Hamburg,0,NA,4,DE,NA,NA,NA
91,IG Metall,0,NA,5,DE,NA,NA,NA
92,Lothar Evers,1,1968,6,DE,Ausbildung,NA,NA
93,Florian Hohenwarter,1,1976,6,DE,Elektrotechnik,2,NA
94,Duale Hoschschule Baden-Württemberg,0,NA,4,DE,NA,NA,NA
95,KNDS Deutschland GmbH & CO. KG,0,NA,2,DE,NA,NA,3
96,Adela Lieb,2,1976,6,DE,Betriebswirtschaftslehre,2,NA
97,Universität Augsburg,0,NA,4,DE,NA,NA,NA
98,Deloitte & Touche GmbH,0,NA,1,DE,NA,NA,NA
99,Johannes Meier,1,1984,6,DE,Betriebswirtschaftslehre,NA,NA
100,CFA Institute,0,NA,4,US,NA,NA,NA
