from,to ,position,year_start,year_end,year_total,current,management,relation,region,,,,,,,,,,,,,,,,,
10,1,Chief Executive Officer,2024,2025,1,2,2,1,Ditzingen,,,,,,,,,,,,,,,,,
10,2,Head of Division Spectrum,2022,2023,1,1,2,1,Taufkirchen,,,,,,,,,,,,,,,,,
12,2,Chief Executive Officer,2024,2025,1,2,2,1,Taufkirchen,,,,,,,,,,,,,,,,,
12,1,Chief Executive Officer,2021,2023,3,1,2,1,Ditzingen,,,,,,,,,,,,,,,,,
12,292,Offizier,1988,1989,1,1,1,2,Fürstenfeldbruck,,,,,,,,,,,,,,,,,
12,319,Tactical Control Officer,1994,1994,1,1,1,2,Fort Bliss,,,,,,,,,,,,,,,,,
12,30,General Staff Officer,2001,2003,1,1,1,2,Hamburg,,,,,,,,,,,,,,,,,
12,221,Tactical Control Officer,1993,1995,2,1,1,1,Westertimke,,,,,,,,,,,,,,,,,
12,320,Head of Software Development ,1995,1999,4,1,1,1,Glons,,,,,,,,,,,,,,,,,
12,221,Company Commander,1999,2001,2,1,1,1,Burbach,,,,,,,,,,,,,,,,,
12,221,Senior Expert Command,2003,2005,2,1,1,1,Köln,,,,,,,,,,,,,,,,,
12,329,Executive Officer,2005,2006,1,1,1,1,Bonn,,,,,,,,,,,,,,,,,
12,221,Head of Department Command,2006,2006,1,1,1,1,Bonn,,,,,,,,,,,,,,,,,
12,329,Deputy Branch Chief Capability Management,2007,2010,3,1,1,1,Bonn,,,,,,,,,,,,,,,,,
12,336,Director Marketing,2012,2013,0,1,2,1,Langen,,,,,,,,,,,,,,,,,
12,336,Director Defence Solutions,2013,2015,2,1,2,1,Langen,,,,,,,,,,,,,,,,,
12,336,Inside Director of Board of Directors ,2013,2015,2,1,2,1,Maryland,,,,,,,,,,,,,,,,,
12,1,Director Country Business Unit,2015,2016,2,1,2,1,Ditzingen,,,,,,,,,,,,,,,,,
12,1,Vice President Marketing & Sales,2016,2021,4,1,2,1,Ditzingen,,,,,,,,,,,,,,,,,
11,1,Chief Financial Officer,2023,2025,2,2,2,1,Ditzingen,,,,,,,,,,,,,,,,,
13,2,Chief Financial Officer,2022,2025,3,2,2,1,Taufkirchen,,,,,,,,,,,,,,,,,
13,9,Head of Controlling Customer Support,2014,2015,2,1,1,1,Taufkirchen,,,,,,,,,,,,,,,,,
13,59,Supply Chain Controlling,2006,2010,4,1,1,1,NA,,,,,,,,,,,,,,,,,
13,9,Head of Centre Controlling Supply Chain Management,2010,2014,3,1,1,1,NA,,,,,,,,,,,,,,,,,
13,233,Senior Lecturer,2014,2022,8,1,1,1,München,,,,,,,,,,,,,,,,,
13,2,Head of Central Controlling,2015,2020,5,1,1,1,Taufkirchen,,,,,,,,,,,,,,,,,
13,2,Head of Site Management ,2018,2022,4,1,1,1,Taufkirchen,,,,,,,,,,,,,,,,,
13,2,Head of Group Controlling & Investor Relations,2020,2022,2,1,1,1,Taufkirchen,,,,,,,,,,,,,,,,,
14,3,Chief Executive Officer,2016,2025,9,2,2,1,Kongsberg,,,,,,,,,,,,,,,,,
15,3,"Executive Vice President, Chief Financial Officer",2023,2025,2,2,2,1,Kongsberg,,,,,,,,,,,,,,,,,
16,4,Chief Executive Officer,2023,2025,2,2,2,1,München,,,,,,,,,,,,,,,,,
17,4,Chief Operating Officer,2023,2025,2,2,2,1,München,,,,,,,,,,,,,,,,,
18,5,Chief Operations Officer,2025,2025,0,2,2,1,Düsseldorf,,,,,,,,,,,,,,,,,
18,5,Chief Executive Officer,2023,2025,2,1,2,1,Unterlüß,,,,,,,,,,,,,,,,,
19,5,Chief Financial Officer,2023,2025,2,2,2,1,Düsseldorf,,,,,,,,,,,,,,,,,
20,6,Chief Executive Officer,2019,2025,5,2,2,1,Überlingen,,,,,,,,,,,,,,,,,
21,6,Chief Financial Officer,2019,2025,5,2,2,1,Überlingen,,,,,,,,,,,,,,,,,
22,7,Chief Executive Officer,2021,2024,4,2,2,1,Bergisch Gladbach,,,,,,,,,,,,,,,,,
23,7,Chief Financial Officer,2022,2023,3,2,2,1,Bergisch Gladbach,,,,,,,,,,,,,,,,,
24,8,Chief Executive Officer,2023,2025,2,2,2,1,Neuss,,,,,,,,,,,,,,,,,
24,360,NA,1988,1991,3,1,1,1,Stuttgart,,,,,,,,,,,,,,,,,
24,367,Professor,1991,NA,NA,NA,1,1,Lecce,,,,,,,,,,,,,,,,,
24,368,Gastprofessor,1996,1996,1,1,1,1,Richmond,,,,,,,,,,,,,,,,,
24,369,Gastprofessor,1997,1997,1,1,1,1,Bunkyō,,,,,,,,,,,,,,,,,
24,370,NA,2001,NA,NA,NA,NA,1,Lecce,,,,,,,,,,,,,,,,,
24,371,Scientific Director,2006,NA,NA,NA,2,1,Genua,,,,,,,,,,,,,,,,,
24,371,Chief Executive Officer,2006,NA,NA,NA,2,1,Genua,,,,,,,,,,,,,,,,,
24,8,Chief Technology and Innovation Officer,2019,NA,NA,1,2,1,Rom,,,,,,,,,,,,,,,,,
25,8,Chief Financial Officer,2017,2025,7,2,2,1,Rom,,,,,,,,,,,,,,,,,
25,39,Business Administration,NA,NA,NA,1,1,2,Stanford,,,,,,,,,,,,,,,,,
25,49,Wirtschaft,NA,NA,NA,1,1,2,Rom,,,,,,,,,,,,,,,,,
25,8,Senior Manager,2006,2025,19,2,2,1,Rom,,,,,,,,,,,,,,,,,
26,9,Chief Human Resources Officer ,2012,2025,13,2,2,1,Taufkirchen,,,,,,,,,,,,,,,,,
27,9,Chief Executive Officer,2019,2025,6,2,2,1,Taufkirchen,,,,,,,,,,,,,,,,,
